,l_kurtosis,l_skew,l_tvar,l_tmean,a_kurtosis,a_skew,a_tvar,a_tmean,b_kurtosis,b_skew,b_tvar,b_tmean,label
358,4.942176410557871,-2.5206817588814365,1496.6770349072226,173.32464263260175,4.258133878869605,2.46253687869047,209.9910221648616,73.22883080418381,4.729755429371389,-2.531893089364274,249.54892631806618,191.8528919467307,unfermented
359,4.090141155534857,-2.295141243745984,1495.3617532868318,172.98975551554642,2.9960733411478593,2.1957354754920058,225.8305354332152,73.87116383744856,3.3861553866417706,-2.2569644739674373,291.7704028496949,190.97687321387747,unfermented
360,3.531837386214975,-2.2036213269862426,1807.1308466752603,174.15848451074532,1.8413648528533182,1.9159304269746946,264.68903406581086,74.55061399748514,2.3011549233781228,-2.0116612422867406,344.6081201474445,190.88997556584363,unfermented
361,2.3283688293120424,-1.9787808856667732,2390.152206584015,175.36800411522634,1.431615971177001,1.8132845814597904,299.7090956817916,74.54543431355738,1.7488814542647884,-1.8818923248695698,403.7356396883242,191.19989783379057,unfermented
362,4.510858540301716,-2.4028479598528096,1503.249441953044,175.62211348308185,3.654825417223197,2.338200889425,213.31055571119225,72.9624028349337,4.101746722692285,-2.401863811451706,277.8423129279841,192.17407207361683,unfermented
363,6.1683463641750365,-2.701177785205246,1373.9934768255066,173.77524819958848,4.787569283800101,2.5612683294234246,196.13397534695255,72.89254836819845,5.630384393850115,-2.681569035984407,238.2508632826475,192.06308599108368,unfermented
364,5.723898002479675,-2.6616420244337284,1534.6780578227142,175.11392932670324,4.47301091087153,2.5094604930071336,218.58532218529908,72.86175482967535,5.04867840642501,-2.607639779358746,282.55124662160506,192.23962598593965,unfermented
365,5.6446144665903315,-2.6433864963793923,1496.6363613019003,177.1537254943987,4.899869009143347,2.588637772714304,196.91359287325943,72.30562828646548,5.519364252148279,-2.6800762751463614,248.93676776952225,193.19209240683585,unfermented
366,4.414869844137642,-2.401777698809843,1408.3434792846451,173.39967349679927,3.501921292899638,2.3097894983805003,207.22154066119717,73.2605025434385,3.9584213010968625,-2.3831699211273567,273.5536542912323,191.47153477937815,unfermented
367,4.707768535000315,-2.4629907978660452,1633.0163831118293,173.59413980338363,3.90878242397379,2.386242031679352,207.20837034745966,73.44928133573389,4.385827895602846,-2.4630184620415556,271.26327896574014,191.55222407978965,unfermented
368,3.797621922380502,-2.271358217618464,1641.4902274186766,173.36435149462736,2.7895462460911418,2.148224721017444,232.7341539895649,73.81686899862825,3.3627900054516244,-2.2447360282162814,285.4100964812013,191.42254393861455,unfermented
369,3.6651908847165737,-2.2355736491619234,1720.6916086393578,175.97205568415637,2.0918623768935714,1.9904749373682866,257.63161450024944,74.06951631801554,2.6160143346861275,-2.085927499973353,312.97527862861836,191.86264424725653,unfermented
370,4.854334004867786,-2.4476351482405305,1404.4540829412506,173.29258323331047,2.7333334555154662,2.1416906768968875,252.0700074140549,74.19940850765889,3.716174062407722,-2.324705936828791,291.09271452698033,191.12828346479196,unfermented
371,8.903175041221868,-3.122652760030486,1120.1442999500591,176.11325024291267,6.742308634905687,2.9062724307644063,158.95336738136805,72.01509995141747,7.9844103669379844,-3.0694110586036185,190.93160792989124,193.07380887059898,unfermented
372,3.923809126388285,-2.3001655780617667,1535.8925290087348,174.20321487768632,3.0365473765780084,2.200646283174984,215.85855250773974,73.43204260973937,3.200859937328076,-2.2304655181560253,296.130752924806,191.42247635173754,unfermented
373,4.436580993587987,-2.3979933369185287,1504.2390958248752,174.9735046582076,3.0627511619818284,2.2137831237343755,222.0115276102731,73.39604845393232,3.5272273231614504,-2.292227567608566,287.69660166102483,191.74441515203475,unfermented
374,3.7469947985814045,-2.2558406653357004,1530.03197170385,177.1168882887517,2.4159087053480723,2.0582552468841597,240.08743884142612,73.49287722908093,2.7694324516476083,-2.130974053248678,313.68673392440763,191.97727659179242,unfermented
375,4.763831868519452,-2.4766185580316042,1353.4812480227229,173.64966649519891,4.0176070638310515,2.4106957206195063,193.04040309681272,72.94274276977595,4.333200764298585,-2.464121639606948,257.65554180430684,191.7328555098308,unfermented
376,6.838883524706915,-2.8266613756049264,1122.4282757165254,174.21992476851852,5.617773882740972,2.7196449068371376,173.14316171205957,72.43657728909464,6.2394714338975295,-2.8057950366961943,213.5066021600043,192.2548987625743,unfermented
377,3.9266343724468173,-2.3123418150321453,1622.4151378768026,172.56651677526293,3.06358501427699,2.2084024092567183,230.3918348116591,73.8009374285551,3.5796728979369856,-2.3012041902974696,290.24580911599156,191.2467186071102,unfermented
378,5.49114798254757,-2.6122433347375664,1460.8482700041343,173.64841971021949,4.878096853469559,2.573327591610303,186.4186409435811,72.95133537665752,4.9470283653325975,-2.5837021505750197,254.7925295553975,191.64784815100595,unfermented
379,6.775491324864749,-2.8037471151099416,1086.845576419535,175.17130772748055,5.14724613503094,2.6171745299326146,162.2290464501256,72.49478352194788,5.875481476168586,-2.728833179021663,194.61882464419773,192.53661394032923,unfermented
380,4.449403565906352,-2.39911618033386,1487.6918459214833,176.29690243484225,3.114460308720882,2.2173769878054825,209.93595039690834,73.05848465363512,3.3774662072727732,-2.266166693335914,297.77617288704647,191.94377772062185,unfermented
381,5.2801333850561765,-2.5835698603743062,1309.8124793476961,174.11780106881574,4.546470448894171,2.5148946449796914,176.147258011543,72.46467578303613,4.742089750859123,-2.549222985133064,256.03010736843856,191.9158700560128,unfermented
382,4.222830623044901,-2.3625439348840716,1625.812208818236,172.86902063328762,2.8941382574330223,2.167959807677936,237.69713957207077,73.84548811156836,3.2970929334356214,-2.2436728947582285,307.85008053518857,191.04832190214907,unfermented
383,6.839754170494517,-2.831511016880698,1378.222587568775,176.0579773948331,5.566493527047307,2.7024397109425715,181.86678129489508,72.20650370084591,6.133035014660704,-2.7855576938100732,241.04140826413035,192.78166516632373,unfermented
384,4.356455125304091,-2.398365245315135,1582.299083951967,173.79917009602195,3.6387291653802905,2.3336290250569913,211.87411385337063,73.11838977480566,3.9961143568333535,-2.3887892733896123,270.915265607002,191.85945044581618,unfermented
385,6.563474785365678,-2.797593040229332,1360.076625042251,173.71901698959763,5.657670963348114,2.7166462573206065,176.33100431273425,72.4647385831047,6.11848123177532,-2.7910327487574387,241.3482213226419,192.15066229423869,unfermented
