,l_kurtosis,l_skew,l_tvar,l_tmean,l_entropy,a_kurtosis,a_skew,a_tvar,a_tmean,a_entropy,b_kurtosis,b_skew,b_tvar,b_tmean,b_entropy,energy_0,energy_45,energy_90,energy_135,label
0,7.239184373017938,2.2853706249434906,245.49545249147866,15.501951446837637,4.7015208171659655,1.2899753135985357,1.0499186956179707,9.015458233723953,132.53792942752705,2.8412050773405633,11.195989144393595,2.6158684773654723,12.51083330934642,130.321551837127,3.0974005727464484,0.22457465139464305,0.22292571875793546,0.23549818405825412,0.22168191320760602,fullyfermented
1,7.678694617585872,2.4008784249617743,231.13301568924783,15.971842330911075,4.469687953351975,4.7827191393495205,1.6034672892799158,5.676658185981865,133.149449578631,2.4672754419848757,10.573347093327722,2.7758730232587148,15.24243833608267,130.01021159392675,3.164266944395117,0.29992947037762907,0.2939685090957306,0.3115910032718171,0.2999536266241614,fullyfermented
2,7.534090993954008,2.318703047147658,244.19376876637,15.486842990779998,4.689464292250969,0.729953633000922,1.0337421045310347,8.022104055935351,132.58603091280256,2.81624913637991,3.4651926049998965,1.3000317933898708,14.76256428386973,130.2200013459856,3.4593521660245212,0.23553013580274307,0.23098208431147638,0.24777189341935293,0.23115039618386177,fullyfermented
3,6.548709759869775,2.2102453863312976,246.73145376248638,15.514664826623521,4.7084559065352325,8.067707978655262,2.1432288586932935,12.194676170744073,132.540385774563,2.8601572094107843,11.943666065120881,2.318559869714394,15.781017653393938,130.3770184956061,3.0965414335789445,0.22046803049639616,0.21796614705457606,0.23596337321574895,0.22162802543986998,fullyfermented
4,6.709647584536164,2.1947551751561916,250.8050215614045,15.235491260021403,4.8329256525896325,3.8622803448276475,1.5115945997876081,8.99291048325661,132.5242578997766,2.80677219770323,7.619042691599191,1.996458748958572,18.760324614794815,130.27211280298906,3.4699224987293853,0.20402412647427287,0.20127883758728385,0.22041466756323727,0.20302512859924962,fullyfermented
5,7.111974372080427,2.268052722822066,243.71966954503637,15.44685682135573,4.694388933266685,2.839950328893189,1.4245662392238698,9.127368580712913,132.49993469502576,2.8055968687246757,8.74089611553358,2.459120172305258,12.14583675733121,130.32086845568807,3.081611109156949,0.23422401450292604,0.23152939007078183,0.2485319195211902,0.2320195807539888,fullyfermented
6,6.8600723717108245,2.181651489852405,258.619017125626,15.054598968506134,4.918294547935214,0.9903755642848777,0.9950174032277949,8.376403912233963,132.47661137163482,2.84939665313648,11.053006703546208,2.653931634437882,10.080821949612897,130.36108585881314,3.0395865685301064,0.18869566358941103,0.18716830594533784,0.2049581143992745,0.1863955669734179,fullyfermented
7,6.972168046583457,2.2299123585172222,252.1495095447123,15.218311425780305,4.833392328758275,1.9999513312859376,1.230832474467385,8.438335058735719,132.53791989476636,2.774650165913548,10.743554770354622,2.7001303237958796,11.787027128691218,130.32841017903257,3.0313585712186812,0.2045600060872688,0.20390589574365858,0.22183119236376317,0.20157743169722636,fullyfermented
8,6.361099333861835,2.0968786599665794,261.8580537560904,14.764725933256363,4.962863239600523,1.1192994713085653,0.8011622335749721,11.508810827802714,132.06057507284623,3.091916273383073,8.373414096899682,2.255846901831207,16.78830068001482,130.05892572433888,3.4922200507028687,0.17766833174712407,0.17182687672174257,0.19049545750598815,0.17466472974410246,fullyfermented
9,6.721566331289985,2.1620794662409524,256.8386203139339,15.026337843914803,4.926702029285227,2.2915257630251915,1.2142037911881738,9.862061481807912,132.5637238870038,2.960952820732459,6.550122835148059,2.1277332487752787,17.27186016203782,130.24007603940967,3.436304650884359,0.18574951551659813,0.18317544422237292,0.20123700839335,0.18245744549507728,fullyfermented
